Date,Open,High,Low,Close
01/11/2020,"0.0022","0.0022","0.0022","0.0022"
01/10/2020,"0.0021","0.0022","0.0021","0.0022"
01/09/2020,"0.0021","0.0022","0.0021","0.0021"
01/08/2020,"0.0022","0.0023","0.0021","0.0021"
01/07/2020,"0.0021","0.0022","0.0021","0.0022"
01/06/2020,"0.0021","0.0022","0.0021","0.0021"
01/05/2020,"0.0021","0.0021","0.0021","0.0021"
01/04/2020,"0.0020","0.0021","0.0020","0.0021"
01/03/2020,"0.0020","0.0024","0.0020","0.0024"
01/02/2020,"0.0020","0.0021","0.0020","0.0020"
01/01/2020,"0.0020","0.0021","0.0020","0.0020"
